war_start;run_date;player_name;player_tag;th_level;defense_number;stars;destruction;attacker_th
2026-08-13;2026-08-15;soul_reaper;#98JCP2P2C;18;1;3;100;18
2026-08-13;2026-08-15;Rrr;#VYC2G8LC;18;1;1;71;18
2026-08-13;2026-08-15;Кирилл;#8QL2LYRRU;18;1;3;100;18
2026-08-13;2026-08-15;Free Air;#GGY8RJULU;13;1;3;100;17
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;9;1;2;17
2026-08-13;2026-08-15;-Mihan-;#YL2JGJUQU;18;1;3;100;18
2026-08-13;2026-08-15;KING STARS;#QU9Y2Q8G2;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;10;1;9;16
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;10;1;8;16
2026-08-13;2026-08-15;Ваше величество;#89RYR9VL8;18;1;3;100;18
2026-08-13;2026-08-15;Dmitr0ff;#9YYCR888C;18;1;3;100;18
2026-08-13;2026-08-15;Deniskus;#GJGUGGJVL;18;1;3;100;18
2026-08-13;2026-08-15;женя 333;#899QP9GQC;18;1;3;100;18
2026-08-13;2026-08-15;Rrr;#VYC2G8LC;18;2;3;100;18
2026-08-13;2026-08-15;Кирилл;#8QL2LYRRU;18;2;3;100;18
2026-08-13;2026-08-15;ВОСТОК;#88JU9UC2C;16;1;3;100;16
2026-08-13;2026-08-15;ХарчёкМундарчёк;#YJQ9VJ29V;17;1;3;100;16
2026-08-13;2026-08-15;MassaNetto;#QQVG9G2CV;15;1;3;100;15
2026-08-13;2026-08-15;PARGE_LENIS;#LCP8PR0YV;16;1;3;100;15
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;11;1;3;18
2026-08-13;2026-08-15;rik42745435D;#QQ880Q0PG;18;2;3;100;16
2026-08-13;2026-08-15;MassaNetto;#QQVG9G2CV;15;2;2;99;16
2026-08-13;2026-08-15;Leo;#2YVC0P00L;18;1;3;100;18
2026-08-13;2026-08-15;sɴᴏᴏᴘʏ ☂;#YLLC8QUUG;18;1;3;100;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;11;3;100;18
2026-08-13;2026-08-15;mir 0202;#29RVLQ2UU;18;1;3;100;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;12;2;74;18
2026-08-13;2026-08-15;puStoTa.95;#8JY8JJPPQ;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;12;1;20;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;13;1;4;18
2026-08-13;2026-08-15;soul_reaper;#98JCP2P2C;18;2;3;100;17
2026-08-13;2026-08-15;Hadi01;#GRCV2UJ88;14;1;3;100;17
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;13;1;11;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;14;1;10;18
2026-08-13;2026-08-15;mrTurelkin;#GV8020QCQ;10;1;3;100;13
2026-08-13;2026-08-15;Storm;#Y0QU90PRJ;11;1;3;100;13
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;14;1;16;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;15;1;2;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;16;1;2;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;15;1;15;18
